candidate_id,candidate_role,job_id,job_title,company_name,text_match_pct,skill_overlap_pct,final_match_score,rank,matching_skills,missing_skills,suitability
3547447,banking,3899530013,Mortgage Loan Processor,,21.1,100.0,44.7,1,auditing,,Highly Suitable
3547447,banking,3889164424,External Mortgage Loan Originator,AnnieMac Home Mortgage,20.0,75.0,36.5,2,auditing|sales|taxation,communication,Suitable
3547447,banking,3905310572,Sr. Homeowners Assistance Counselor,Fifth Third Bank,20.4,60.0,32.3,3,excel|sales|taxation,customer_service|negotiation,Suitable
3547447,banking,3902929832,Mortgage Loan Processor,Drees Homes,20.1,50.0,29.1,4,excel,customer_service,Suitable
3547447,banking,3902831650,Mortgage Loan Officer,Home123 Mortgage,20.0,50.0,29.0,5,sales,customer_service,Suitable
3547447,banking,3891094108,Loan Resolution Coordinator,AMIP Management,20.5,40.0,26.4,6,excel|sales,accounting|communication|ms_office,Suitable
3547447,banking,3900963549,Mortgage Underwriter,Orion Lending,23.2,33.3,26.3,7,taxation,communication|customer_service,Suitable
3547447,banking,3902787341,Mortgage Loan Processor,Toll Brothers,19.9,40.0,25.9,8,excel|sales,communication|customer_service|marketing,Suitable
3547447,banking,3889434548,Mortgage Loan Officer,"Cornerstone First Mortgage, LLC",20.1,0.0,14.1,9,,crm|marketing|ms_office,Not Suitable
3547447,banking,3905349685,Senior Mortgage Underwriter,"Park Place Finance, LLC - Hard Money Lender",19.9,0.0,13.9,10,,ms_office,Not Suitable
10001727,chef,3895552932,Hotel Front Desk Night Auditor,"Lift Bridge Lodge, Ascend Hotel Collection",16.6,100.0,41.6,1,accounting|auditing|customer_service,,Highly Suitable
10001727,chef,3888034326,Banquet Chef,The Essex Resort & Spa,15.1,100.0,40.6,2,accounting|communication,,Highly Suitable
10001727,chef,3905888279,Front Desk Evening Supervisor - Hotel,The NASWA Resort,14.4,100.0,40.1,3,auditing|communication|customer_service,,Highly Suitable
10001727,chef,3902946380,Night Auditor - Part Time,Sonesta Hotels,15.9,66.7,31.2,4,accounting|auditing|communication|sales,ms_office|taxation,Suitable
10001727,chef,3905299595,Front Desk Supervisor,Sonesta Hotels,15.8,66.7,31.1,5,accounting|communication|customer_service|marketing,budgeting|ms_office,Suitable
10001727,chef,3900081604,Sous Chef ,Hyatt Regency,16.3,50.0,26.4,6,communication|customer_service,leadership|payroll,Suitable
10001727,chef,3902789354,Sous Chef ,Hyatt Regency,14.7,50.0,25.3,7,communication|customer_service,leadership|payroll,Suitable
10001727,chef,3903808384,Banquet Sous Chef,EOS Hospitality,15.7,0.0,11.0,8,,,Not Suitable
10001727,chef,3903445349,Sous Chef,Brennan's Restaurant,15.0,0.0,10.5,9,,leadership,Not Suitable
10001727,chef,3885100612,Sous Chef,Heritage Companies,13.9,0.0,9.8,10,,leadership|recruitment,Not Suitable
10005171,digital_media,3904930334,MSNBC Public Relations Assistant,NBCUniversal,15.0,100.0,40.5,1,marketing,,Highly Suitable
10005171,digital_media,3904095140,Assistant Director Marketing and Advertising,Community College of Rhode Island,16.1,50.0,26.3,2,marketing|recruitment,project_management|social_media,Suitable
10005171,digital_media,3902355038,Communications Specialist,City of Pittsburgh,14.4,50.0,25.1,3,marketing,social_media,Suitable
10005171,digital_media,3904422438,Communications Coordinator - School of Integrative Biology,University of Illinois Urbana-Champaign,16.6,33.3,21.6,4,marketing,project_management|social_media,Suitable
10005171,digital_media,3904925206,Public Relations Manager,Kip Hunter Marketing,15.4,33.3,20.7,5,marketing,communication|sales,Suitable
10005171,digital_media,3904418839,Assistant Director for Marketing and Communication - Krannert Art Museum,University of Illinois Urbana-Champaign,16.4,25.0,19.0,6,marketing,adobe|communication|social_media,Not Suitable
10005171,digital_media,3905293349,"Intern-Public Relations, UofL Health, Part time",UofL Health,14.7,25.0,17.8,7,marketing,communication|ms_office|social_media,Not Suitable
10005171,digital_media,3905246857,Marketing and Communications Specialist,Tri-Cities Airport (TRI),16.5,14.3,15.9,8,marketing,adobe|communication|illustrator|photoshop|project_management|social_media,Not Suitable
10005171,digital_media,3905873619,Communications Coordinator,The Greater Sarasota Chamber of Commerce,14.2,20.0,15.9,9,marketing,communication|excel|powerpoint|social_media,Not Suitable
10005171,digital_media,3884801425,Director of Marketing and Communications,Library Foundation of Los Angeles,14.5,16.7,15.1,10,marketing,adobe|crm|leadership|project_management|social_media,Not Suitable
10030015,engineering,3904358794,LabView Developer ,Tekskills Inc.,14.0,0.0,9.8,1,,.net|c#|communication|excel|matlab|ms_office|powerpoint|sql|sql_server,Not Suitable
10030015,engineering,3890893453,Electrical Engineer,"LanceSoft, Inc.",13.7,0.0,9.6,2,,,Not Suitable
10030015,engineering,3902869234,Design Engineer,Amtec Inc.,13.5,0.0,9.4,3,,communication|sales|solidworks,Not Suitable
10030015,engineering,3887912279,Shock and Vibration Laboratory Technician,Naval Nuclear Laboratory (FMP),13.4,0.0,9.4,4,,matlab,Not Suitable
10030015,engineering,3900959564,LabView Developer,BuzzClan,13.4,0.0,9.4,5,,.net|c#|communication|excel|matlab|ms_office|powerpoint|sql|sql_server,Not Suitable
10030015,engineering,3904575254,Injection Molding Technician,Symmetrio,13.3,0.0,9.3,6,,communication|recruitment,Not Suitable
10030015,engineering,3889775318,Electrical Technician,Diversity Talent Scouts- Executive Search Firm,13.3,0.0,9.3,7,,,Not Suitable
10030015,engineering,3888949384,"Assembler Technician, 2nd shift",Moog Inc.,13.2,0.0,9.2,8,,excel,Not Suitable
10030015,engineering,3889710264,Jr Package Laboratory Technician,Innovative Design Engenuity Agency - I.D.E.A,12.8,0.0,9.0,9,,communication|ms_office,Not Suitable
10030015,engineering,3889761103,Senior/Lead Mechanical Test Engineer,Strativ Group,12.8,0.0,9.0,10,,leadership,Not Suitable
10041713,construction,3903811780,Senior Energy Engineer,Natek Energy ,16.6,50.0,26.7,1,sales,project_management,Suitable
10041713,construction,3901941563,System Engineer,Albireo Energy,14.7,50.0,25.3,2,sales,ms_office,Suitable
10041713,construction,3904988362,"Principal, Development Engineer - Hybrid in Western PA",Constellation,16.5,25.0,19.1,3,auditing|sales,autocad|communication|excel|financial_analysis|leadership|project_management,Not Suitable
10041713,construction,3889769701,Building Management Systems Engineer,Joulea,14.8,25.0,17.8,4,auditing,c++|python|taxation,Not Suitable
10041713,construction,3903805110,Automation Technical Professional - Alarm Rationalization,Oil and Gas Job Search Ltd,15.9,0.0,11.1,5,,agile|communication|excel|ms_office|recruitment,Not Suitable
10041713,construction,3888973714,BAS Controls Technician,gpac,15.8,0.0,11.0,6,,communication|leadership,Not Suitable
10041713,construction,3901629451,Engineer V,Hargrove Engineers & Constructors,15.7,0.0,11.0,7,,autocad|communication|excel|forecasting|linux,Not Suitable
10041713,construction,3904368338,Resource Efficiency Manager - 1927886,RightWorks,15.5,0.0,10.8,8,,excel|powerpoint|project_management,Not Suitable
10041713,construction,3904362744,Resource Efficiency Manager - 1898182,RightWorks,14.9,0.0,10.5,9,,excel|powerpoint|project_management,Not Suitable
10041713,construction,3906260405,Instrumentation and Controls Engineer,"JCO Workforce Solutions, LLC ",14.8,0.0,10.4,10,,,Not Suitable
10062724,healthcare,3903423912,Outpatient Mental Health Therapist - $10K/$15K Bonus,Akron Children's Hospital,20.8,33.3,24.6,1,excel,ms_office|php,Suitable
10062724,healthcare,3887576713,Mental Health Specialist,Driscoll Children's Hospital,23.8,0.0,16.6,2,,customer_service|patient_care,Not Suitable
10062724,healthcare,3899525833,Licensed Social Worker,Level D&I Solutions,23.4,0.0,16.4,3,,patient_care,Not Suitable
10062724,healthcare,3904981879,Licensed Social Worker - LCSW-Crisis & Triage Management - Honolulu,Kaiser Permanente,23.3,0.0,16.3,4,,patient_care,Not Suitable
10062724,healthcare,3902860792,Licensed Clinical Social Worker - LCSW,PROLIM Corporation,22.1,0.0,15.5,5,,patient_care,Not Suitable
10062724,healthcare,3904720130,"Social Worker, Hospital Case Management, Full Time, Days",Prisma Health,21.6,0.0,15.1,6,,nursing,Not Suitable
10062724,healthcare,3898155839,Medical Social Worker,Children's Nebraska,21.4,0.0,15.0,7,,nursing|onboarding|patient_care,Not Suitable
10062724,healthcare,3887928959,Licensed Marriage and Family Therapist/Perinatal or Postpartum Mood and Anxiety Disorders/PT .9 Days,Sharp HealthCare,20.4,0.0,14.3,8,,leadership|patient_care,Not Suitable
10062724,healthcare,3886869050,Addiction Counselor,The Job Network,20.1,0.0,14.1,9,,communication|leadership|patient_care,Not Suitable
10062724,healthcare,3904995694,SOCIAL WORKER,Family Service League - Long Island,20.0,0.0,14.0,10,,communication|ms_office|recruitment,Not Suitable
10070224,public_relations,3905873619,Communications Coordinator,The Greater Sarasota Chamber of Commerce,25.3,80.0,41.7,1,excel|marketing|powerpoint|social_media,communication,Highly Suitable
10070224,public_relations,3891806151,Publicist,,23.3,66.7,36.3,2,marketing|social_media,communication,Suitable
10070224,public_relations,3905250672,Public Relations Intern,Trove Tourism Development Advisors,20.4,66.7,34.3,3,marketing|ms_office,communication,Suitable
10070224,public_relations,3902835200,Public Relations Coordinator,Pat Tillman Foundation,23.1,50.0,31.1,4,marketing|social_media,communication|data_analysis,Suitable
10070224,public_relations,3904418839,Assistant Director for Marketing and Communication - Krannert Art Museum,University of Illinois Urbana-Champaign,21.2,50.0,29.8,5,marketing|social_media,adobe|communication,Suitable
10070224,public_relations,3891251211,Senior Director Corporate Communications,"MapLight Therapeutics, Inc.",20.7,50.0,29.5,6,social_media,leadership,Suitable
