job_id,duplicate_id,similarity
3901354841,3901356193,0.9868
3900963162,3901377120,0.9835
3905816701,3905817624,0.9859
3884827516,3884828708,0.9634
3884827516,3884829470,0.9556
3884827516,3902838585,0.9668
3884828708,3884829470,0.9905
3884828708,3902838585,0.9793
3884829210,3902838586,0.9863
3884829470,3902838585,0.9875
3884830378,3902838570,0.9674
3899531476,3901357098,0.9875
3901356250,3901356266,0.984
3901984680,3901984693,0.9535
3901363881,3901364432,0.9925
3901374395,3901377273,0.9977
3901675934,3906071596,0.9564
3905335946,3905340223,0.9858
3884843964,3884844887,0.9919
3891287924,3902328965,0.9907
3898176304,3899533327,0.9954
3898176304,3901692736,0.9771
3899533327,3901692736,0.9725
3901692693,3901692728,0.9665
3905293677,3905872293,0.9803
3905867932,3905870506,0.9814
3905867932,3905874081,0.9825
3905870506,3905874081,0.9763
3904067931,3904067932,0.9941
3904067931,3904067946,0.9945
3904067931,3904069831,0.9941
3904067931,3904071300,0.9945
3904067931,3904073153,0.9945
3904067931,3904074161,0.9945
3904067932,3904067946,0.9941
3904067932,3904069831,0.9937
3904067932,3904071300,0.9941
3904067932,3904073153,0.9941
3904067932,3904074161,0.9941
3904067937,3904072210,0.9862
3904067946,3904069831,0.9941
3904067946,3904071300,0.9945
3904067946,3904073153,0.9945
3904067946,3904074161,0.9945
3904068836,3904069835,0.9849
3904068836,3904074144,0.9854
3904068836,3904074170,0.9854
3904068839,3904069834,0.9937
3904068839,3904069837,0.9901
3904068839,3904070313,0.9907
3904068839,3904070314,0.9901
3904068839,3904070321,0.9901
3904068839,3904071303,0.9907
3904068839,3904071306,0.9901
3904068839,3904073158,0.9914
3904068839,3904073159,0.9937
3904068839,3904073169,0.9901
3904068839,3904074151,0.9907
3904068858,3904074143,0.9882
3904069831,3904071300,0.9941
3904069831,3904073153,0.9941
3904069831,3904074161,0.9941
3904069834,3904069837,0.9937
3904069834,3904070313,0.9943
3904069834,3904070314,0.9937
3904069834,3904070321,0.9937
3904069834,3904071303,0.9943
3904069834,3904071306,0.9937
3904069834,3904073158,0.995
3904069834,3904073159,1.0
3904069834,3904073169,0.9937
3904069834,3904074151,0.9943
3904069835,3904074144,0.9859
3904069835,3904074170,0.9859
3904069837,3904070313,0.9907
3904069837,3904070314,0.9901
3904069837,3904070321,0.9901
3904069837,3904071303,0.9907
3904069837,3904071306,0.9901
3904069837,3904073158,0.9914
3904069837,3904073159,0.9937
3904069837,3904073169,0.9901
3904069837,3904074151,0.9907
3904069841,3904069842,0.9861
3904069841,3904071322,0.9861
3904069842,3904071322,0.987
3904070308,3904070311,0.9899
3904070308,3904073152,0.9899
3904070311,3904073152,0.989
3904070313,3904070314,0.9907
3904070313,3904070321,0.9907
3904070313,3904071303,0.9913
3904070313,3904071306,0.9907
3904070313,3904073158,0.992
3904070313,3904073159,0.9943
3904070313,3904073169,0.9907
3904070313,3904074151,0.9913
3904070314,3904070321,0.9901
3904070314,3904071303,0.9907
3904070314,3904071306,0.9901
3904070314,3904073158,0.9914
3904070314,3904073159,0.9937
3904070314,3904073169,0.9901
3904070314,3904074151,0.9907
3904070315,3904071302,0.9724
3904070315,3904071304,1.0
3904070321,3904071303,0.9907
3904070321,3904071306,0.9901
