job_id,skill_abr,skill_name,skill_clean
3884433248,IT,Information Technology,information_technology
3884913450,OTHR,Other,other
3884430610,ENG,Engineering,engineering
3884430610,MNFC,Manufacturing,manufacturing
3884431661,ANLS,Analyst,analyst
3884429730,IT,Information Technology,information_technology
3884432560,SALE,Sales,sales
3884432560,BD,Business Development,business_development
3884431673,MRKT,Marketing,marketing
3884426997,ENG,Engineering,engineering
3884426997,IT,Information Technology,information_technology
3884912836,MGMT,Management,management
3884912836,MNFC,Manufacturing,manufacturing
3884429847,MRKT,Marketing,marketing
3884433362,SALE,Sales,sales
3884433362,BD,Business Development,business_development
3884910775,MGMT,Management,management
3884910775,MNFC,Manufacturing,manufacturing
3887490568,MGMT,Management,management
3887490568,MNFC,Manufacturing,manufacturing
3884912975,ACCT,Accounting/Auditing,accounting_auditing
3884912975,FIN,Finance,finance
3884912975,ANLS,Analyst,analyst
3884433420,MNFC,Manufacturing,manufacturing
3884433420,MGMT,Management,management
3884918677,GENB,General Business,general_business
3884918677,ADM,Administrative,administrative
3884918677,CUST,Customer Service,customer_service
3884920828,ACCT,Accounting/Auditing,accounting_auditing
3884920734,LGL,Legal,legal
3887493761,MGMT,Management,management
3887493761,MNFC,Manufacturing,manufacturing
3887491263,ACCT,Accounting/Auditing,accounting_auditing
3887491263,FIN,Finance,finance
3884917609,ACCT,Accounting/Auditing,accounting_auditing
3884915639,ENG,Engineering,engineering
3884915639,IT,Information Technology,information_technology
3884923184,LGL,Legal,legal
3884925873,HR,Human Resources,human_resources
3887495728,HCPR,Health Care Provider,health_care_provider
3884440220,HCPR,Health Care Provider,health_care_provider
3884430835,ENG,Engineering,engineering
3884926003,PRJM,Project Management,project_management
3887483549,ACCT,Accounting/Auditing,accounting_auditing
3887483549,FIN,Finance,finance
3887483549,GENB,General Business,general_business
3884440450,IT,Information Technology,information_technology
3884440450,ENG,Engineering,engineering
3884435837,MRKT,Marketing,marketing
3884435837,DSGN,Design,design
3884929144,LGL,Legal,legal
3884912952,OTHR,Other,other
3884935167,ACCT,Accounting/Auditing,accounting_auditing
3884935167,FIN,Finance,finance
3884437440,IT,Information Technology,information_technology
3884442081,STRA,Strategy/Planning,strategy_planning
3884442081,PRJM,Project Management,project_management
3884929810,HCPR,Health Care Provider,health_care_provider
3887715491,MGMT,Management,management
3887715491,MNFC,Manufacturing,manufacturing
3884440199,MGMT,Management,management
3884931706,PRJM,Project Management,project_management
3884931706,IT,Information Technology,information_technology
3884443053,HCPR,Health Care Provider,health_care_provider
3884440738,OTHR,Other,other
3884934018,SALE,Sales,sales
3884934018,BD,Business Development,business_development
3884927791,SALE,Sales,sales
3884927791,BD,Business Development,business_development
3887723184,ADM,Administrative,administrative
3884920204,GENB,General Business,general_business
3884920204,ADM,Administrative,administrative
3884920204,CUST,Customer Service,customer_service
3887712308,ENG,Engineering,engineering
3887712308,IT,Information Technology,information_technology
3884437429,IT,Information Technology,information_technology
3884443227,MGMT,Management,management
3884443227,MNFC,Manufacturing,manufacturing
3884929758,HCPR,Health Care Provider,health_care_provider
3884434907,IT,Information Technology,information_technology
3884923252,LGL,Legal,legal
3884989877,IT,Information Technology,information_technology
3884989877,ENG,Engineering,engineering
3884919513,GENB,General Business,general_business
3884919513,ADM,Administrative,administrative
3884919513,CUST,Customer Service,customer_service
3887712548,MGMT,Management,management
3887712548,MNFC,Manufacturing,manufacturing
3884440491,SCI,Science,science
3884992266,IT,Information Technology,information_technology
3884992266,CNSL,Consulting,consulting
3884992266,ENG,Engineering,engineering
3884808299,ACCT,Accounting/Auditing,accounting_auditing
3884991610,ADM,Administrative,administrative
3887842032,HCPR,Health Care Provider,health_care_provider
3884992279,IT,Information Technology,information_technology
3884992279,CNSL,Consulting,consulting
3884992279,ENG,Engineering,engineering
3884936908,HCPR,Health Care Provider,health_care_provider
3887834973,HCPR,Health Care Provider,health_care_provider
3887841166,HCPR,Health Care Provider,health_care_provider
3884932295,HCPR,Health Care Provider,health_care_provider
3887497556,ENG,Engineering,engineering
3887497556,IT,Information Technology,information_technology
3887831805,HCPR,Health Care Provider,health_care_provider
3884990770,IT,Information Technology,information_technology
3884990770,CNSL,Consulting,consulting
3884990770,ENG,Engineering,engineering
3884499535,PRJM,Project Management,project_management
3884449122,IT,Information Technology,information_technology
3884992285,IT,Information Technology,information_technology
3884992285,CNSL,Consulting,consulting
3884992285,ENG,Engineering,engineering
3887836977,HCPR,Health Care Provider,health_care_provider
3887839185,HCPR,Health Care Provider,health_care_provider
3884436834,IT,Information Technology,information_technology
3884806647,ACCT,Accounting/Auditing,accounting_auditing
3884806647,FIN,Finance,finance
3887844081,LGL,Legal,legal
3884435133,IT,Information Technology,information_technology
3887837908,HCPR,Health Care Provider,health_care_provider
3884998112,IT,Information Technology,information_technology
3884998112,CNSL,Consulting,consulting
3884998112,ENG,Engineering,engineering
3887840189,HCPR,Health Care Provider,health_care_provider
3884939641,HCPR,Health Care Provider,health_care_provider
3884995022,IT,Information Technology,information_technology
3884995022,CNSL,Consulting,consulting
3884995022,ENG,Engineering,engineering
3887854441,SALE,Sales,sales
3887854441,MRKT,Marketing,marketing
3884935193,ENG,Engineering,engineering
3884935193,IT,Information Technology,information_technology
3884450335,OTHR,Other,other
3887834972,HCPR,Health Care Provider,health_care_provider
3884939650,HCPR,Health Care Provider,health_care_provider
3887836946,HCPR,Health Care Provider,health_care_provider
3887839186,HCPR,Health Care Provider,health_care_provider
3887833738,HCPR,Health Care Provider,health_care_provider
3887836616,HCPR,Health Care Provider,health_care_provider
3884925602,LGL,Legal,legal
3885810570,IT,Information Technology,information_technology
